1	2,975848	1,494936
2	2,975150	1,496105
3	2,967693	1,492070
4	2,961529	1,491284
5	2,955005	1,484499
6	2,952538	1,483714
7	2,946969	1,481767
8	2,913164	1,462264
9	2,955097	1,485007
10	2,984828	1,496687
11	2,986793	1,495456
12	3,001048	1,513643
13	3,003236	1,507742
14	3,021226	1,519348
15	3,002137	1,511107
16	2,932564	1,470911
17	2,969780	1,493938
18	2,967975	1,494005
19	2,981070	1,500584
20	2,954480	1,485239
21	2,977693	1,496887
22	2,970977	1,492915
23	2,979316	1,496425
24	2,924449	1,468742
25	2,985333	1,494841
26	2,994707	1,496582
27	2,988690	1,496020
28	2,984476	1,492930
29	2,987706	1,494729
30	2,988716	1,495385
31	2,985524	1,494259
32	2,943516	1,473782
33	3,019101	1,509002
34	3,012901	1,510233
35	3,012067	1,507080
36	3,013258	1,507028
37	3,007010	1,506903
38	3,010281	1,506824
39	3,006203	1,505153
40	2,944100	1,472175
41	2,996232	1,498325
42	2,997892	1,500518
43	3,011255	1,508911
44	3,002415	1,501005
45	3,005515	1,503681
46	2,991580	1,496226
47	2,994182	1,498711
48	2,930343	1,465886
49	2,991389	1,509166
50	2,998674	1,508330
